timestamp,cpu_percent,memory_percent,disk_percent,network_mbps
2026-01-06 08:00:00,23,45,62,12.5
2026-01-06 09:00:00,34,48,62,18.3
2026-01-06 10:00:00,56,52,62,24.7
2026-01-06 11:00:00,67,58,62,31.2
2026-01-06 12:00:00,45,54,62,22.1
2026-01-06 13:00:00,38,51,62,19.8
2026-01-06 14:00:00,72,61,63,35.4
2026-01-06 15:00:00,81,68,63,42.1
2026-01-06 16:00:00,78,65,63,38.9
2026-01-06 17:00:00,42,52,63,21.3
2026-01-07 08:00:00,21,44,63,11.2
2026-01-07 09:00:00,32,47,63,17.8
2026-01-07 10:00:00,48,51,63,23.4
2026-01-07 11:00:00,55,56,63,28.9
2026-01-07 12:00:00,43,53,63,21.7
2026-01-07 13:00:00,39,50,63,18.5
2026-01-07 14:00:00,85,72,64,48.2
2026-01-07 15:00:00,92,78,64,52.6
2026-01-07 16:00:00,88,74,64,49.1
2026-01-07 17:00:00,51,55,64,25.3
2026-01-08 08:00:00,19,43,64,10.8
2026-01-08 09:00:00,28,46,64,15.2
2026-01-08 10:00:00,44,50,64,21.9
2026-01-08 11:00:00,52,54,64,26.4
2026-01-08 12:00:00,41,52,64,20.3
2026-01-08 13:00:00,36,49,64,17.1
2026-01-08 14:00:00,58,57,65,29.8
2026-01-08 15:00:00,63,60,65,32.4
2026-01-08 16:00:00,59,58,65,30.1
2026-01-08 17:00:00,38,50,65,18.9
